Anio,Inflacion_anual,Tipo_de_valor
1997,6.46302749806094,Historial
1998,6.00679375151705,Historial
1999,3.72640306752099,Historial
2000,3.73423530553232,Historial
2001,-0.127351804026617,Historial
2002,1.51584359925212,Historial
2003,2.48375367285243,Historial
2004,3.48108068238592,Historial
2005,1.49426032513698,Historial
2006,1.13748466302503,Historial
2007,3.92767933030372,Historial
2008,6.65020733404171,Historial
2009,0.245316435650395,Historial
2010,2.07644423190312,Historial
2011,4.73842084248352,Historial
2012,2.6493688807159,Historial
2013,2.85968115579225,Historial
2014,3.2240611887173,Historial
2015,4.3979285416694,Historial
2016,3.2348819503701,Historial
2017,1.36485588371455,Historial
2018,2.19252315386819,Historial
2019,1.90009157916245,Historial
2020,1.97323222946075,Historial
2021,6.43038716340723,Historial
2022,8.45916200000001,Historial
2023,3.23738256432407,Historial
2024,1.96630270142823,Historial
2025,1.7,Historial
2026,2.0,Historial
2027,3.57,Proyección
2028,3.94,Proyección
2029,4.02,Proyección
2030,4.1,Proyección
2031,4.77,Proyección
2032,4.76,Proyección
2033,5.14,Proyección
2034,4.7,Proyección
2035,5.76,Proyección
